Image;code postal;Commune;Nom;Adresse;Contact mail;Contact téléphonique;Site internet;Réseau social Facebook;Réseau social Twitter;Réseau social Youtube;Texte descriptif;Etat;Typologie;Type innovation;XY;Horaires
;75019;Paris 19e;Résidences Gaston Tessier;3-13 Rue Gaston Tessier;;;;;;;Bâtiment pluriel qui concentre des résidences privées et foyer pour jeunes travailleurs. L’ensemble des résidences a obtenu les labels suivants : Plan climat de Paris et H&E profil A pour la résidence étudiants et le foyer jeunes travailleurs et HQE pour la résidence hôtelière.;projet;Innovation dans les usages;Immeuble pluriel;;
;75012;Paris 12e;Théâtre de l'Épée de Bois;Route du Champ de Manœuvre;;;;;;;;existant;Innovation sociale et sociétale;Lieux innovants de la culture;;
;75018;Paris 18e;CAE Clara;9-11 rue de la Charbonnière;contact@cae-clara.fr;01 77 72 30 30;http://www.cae-clara.fr/;;;;Insertion dans le secteur de la culture.;existant;Innovation sociale et sociétale;Lieux innovants de la culture;;
;93100;Montreuil;Comptoir de l'innovation;104 avenue de la Résistance;;;;;;;et des travailleurs indépendants des machines et;existant;Nouvelles économies et industries;Plateformes, incubateurs;48.864338,2.436123;
;93300;Aubervilliers;Les Labos d'Aubervilliers;41 RUE LECUYER;;;;;;;;existant;Innovation sociale et sociétale;;48.906696,2.393135;
https://opendata.paris.fr/api/v2/catalog/datasets/arc_innovation/files/f69af385ec142b885c97048365d3daf1;75012;Paris 12e;L'Etablisienne;88 boulevard de Picpus;-;01 43 46 35 32;http://www.letablisienne.com/;https://www.facebook.com/L.Etablisienne;L_Etablisienne;-;L’Etablisienne est un lieu dédié au bricolage, à la décoration et à l’ameublement. Vous y trouverez un atelier partagé en self-service où utiliser outils et établis, ou vous pouvez y profiter de cours et stages de formation. Vos anciens meubles peuvent même être échangés contre des heures de location.;existant;Nouvelles économies et industries;Fablab;48.846341,2.400661;
;75019;Paris 19e;Curry vavart - Le Shakirail;72 rue Riquet;;;;;;;;existant;Innovation sociale et sociétale;Lieux innovants de la culture;;
;93100;Montreuil;Ilot Volpelier;198 rue de Paris;;;;;;;1800 m² dans l’ancienne usine de matériel électrique;projet;Potentiels foncier ou immobilier;Potentiels foncier ou immobilier;48.855592,2.421927;
https://opendata.paris.fr/api/v2/catalog/datasets/arc_innovation/files/2cd6f26f6e369ee826c1a22f68ef380b;75012;Paris 12è;L'Arsenal;23 rue dagorno;info@animafac.net;782642059 - 01 42 22 15 15;http://www.animafac.net/lincubateur-projets-larsenal/;https://www.facebook.com/Animafac;;;"Animafac accompagne ces associations durant cette période charnière, en leur faisant bénéficier des compétences et de l’expertise que notre réseau a pu développer au fil des ans et qui lui a permis de devenir un interlocuteur identifié et reconnu sur les questions de vie étudiante, de jeunesse et de vie associative.  Cet accompagnement peut être technique (gestion RH, administrative et financière ; relais de trésorerie) comme stratégique (gouvernance ; modèle économique ; réseau partenariat).
 Au-delà, il s’agit également d’encourager l’émergence de jeunes dirigeants associatifs susceptibles de renouveler les cadres de la société civile.

Un lieu adapté aux besoins des jeunes associatifs : Un espace de 300 m² à Paris, comprenant des postes de travail et des salles de réunion. 
Des formations “métier” organisées régulièrement dans les domaines de la communication, de la gestion administrative et financière et du pilotage stratégique.
Le Dagornoscope : un rendez-vous tous les deux mois faisant appel à des personnalités extérieures afin d’enrichir nos réflexions de militants associatifs.

Un espace de co-choming : L’Arsenal propre également à des jeunes désireux de travailler dans l’ESS de chercher un emploi à plusieurs dans un environnement accueillant et motivant.";existant;Innovation sociale et sociétale;Tiers-lieux;;
https://opendata.paris.fr/api/v2/catalog/datasets/arc_innovation/files/092dbf75713a1ffbf519021e119ed36f;75014;Paris 14e;LOREM - 3D Fablab;4 rue des Mariniers;contact@lorem.org;01 45 43 18 57;http://www.lorem.org/accueil/;https://www.facebook.com/Lorem3D/;Lorem3d;https://www.youtube.com/channel/UC16MStCGu1MS2qo7kNx0whQ;Lieu incontournable de pratique et d’innovation technologique, le LOREM est un Espace Public Numérique qui dispose d’un 3D Fablab et d’un centre de formation, spécialisés dans la stéréoscopie et les technologies 3D en relief et dans lesquels vous trouverez des machines de pointes et différents ateliers créatifs.;existant;Nouvelles économies et industries;Fablab;48.827450999999996,2.311445;
;75018;Paris 18e;Mam’Ayoka;5 place Mac Orlan;sophievlawson@gmail.com;;http://www.mamayoka.com/;https://www.facebook.com/lacuisinedumondeacote;;;Mam'Ayoka est une entreprise solidaire et sociale qui vend des plats cuisinés par des femmes en insertion en leur offrant un emploi.;existant;Nouvelles économies et industries;Economie sociale et solidaire;;
;93300;Aubervilliers;Tour La Villette;6 rue Emile Raynaud;;;;;;;;projet;Innovation dans les usages;Hôtellerie innovante;;
;75020;Paris 20e;Cyclofficines;15 rue Pierre Bonnard;info.paris@cyclocoop.org;-;http://www.cyclocoop.org;https://www.facebook.com/pages/Cyclofficines-dile-de-France/170532636311769;-;-;L’association Cyclofficines a pour but de soutenir l’ouverture d’ateliers coopératifs de recyclage et de réparation de vélos en Île-de-France, et ainsi promouvoir l’usage du vélo en ville en facilitant l’entretien et la réparation des vélos à moindre coût. Elle s’inscrit ainsi dans une démarche de développement durable et d’économie solidaire.;existant;Innovation sociale et sociétale;;48.859565,2.403669;
;75012;Paris 12e;Place de la Nation;Place de la Nation;anne-gaelle.baptiste@paris.fr;;;;;;Expérimentation pour développer des réseaux de capteurs urbains pour mesurer de l’utilisation d’un espace public;existant;Experimentation;Mesure d’utilisation de l'espace public;48.847534,2.395894;
;75013;Paris 13e;Square René Legall;Square René Legall;;;;;;;Expérimentation concentré sur les allées dans le but de diminuer la pollution lumineuse. Des LED, plus économes et plus résistants au vandalisme, remplacent  les anciens luminaires. En l'absence de piétons, le dispositif d'éclairage est en mode veille, par télédétection. Il utilise seulement 10% de la puissance disponible.;existant;Experimentation;Capteurs de présence;;
;93170;Bagnolet;Campus Fonderie de l'Image;80, Rue Jules Ferry;;;http://www.campusfonderiedelimage.org/;http://www.campusfonderiedelimage.org/;https://twitter.com/campuslfi;;Le Campus Fonderie de l'Image vous forme aux métiers de la communication visuelle et multimédia en Apprentissage ou en Formation Initiale, du Bac au Master.;existant;Innovation sociale et sociétale;Formation, Enseignement Supérieur et Recherche;48.861769,2.416573;
;75014;Paris 14e;Didot;10 rue Didot;parisculteurs@paris.fr;;http://www.parisculteurs.paris/fr/sites/1359-didot-14e.html;;;;"APP Parisculteurs. Immobilière 3F met à disposition 2 000 m² de toits d’un ensemble immobilier résidentiel dans le 14ème arrondissement dans le cadre d’un projet de création d'une soixantaine de logements en densification.
 Le bailleur social attend un porteur de projet qui puisse s’inscrire dans ce projet d’agriculture urbaine amorcé par une équipe de maîtrise d’œuvre déjà identifiée et pour lequel il a de fortes attentes : exposer la diversité des formes d’agricultures possibles en ville et servir de démonstrateur. 
 I3F a également la volonté que le projet s’inscrive pleinement dans la vie du quartier, en y associant les acteurs locaux (associations, commerces, résidents…).";projet;Nouveaux lieux - nouveaux services;Agriculture urbaine;;
;75018;Paris 18e;École 42;96 Boulevard Bessières;;fabienne@42.fr;http://www.42.fr/;https://www.facebook.com/42Born2Code/;;;42 développe un système d’éducation autogéré : le peer-to-peer learning. Cette formation participative permet aux étudiants de libérer toute leur créativité grâce à l’apprentissage par projets. 42 veut former les meilleurs talents de leur génération dans le domaine de l’informatique et en grand nombre. Elle est accessible à tous ceux qui ont entre 18 et 30 ans, diplômés ou non. La formation est entièrement gratuite : il n’y a pas de frais d’inscription ni de frais de scolarité. Elle se déroule sur une durée de 3 à 5 ans et reçois 24h/24, 7 jours par semaine 7 000 élèves;existant;Nouvelles économies et industries;Nouveaux espaces de formation et d’enseignement;;
;75019;Paris 19e;L'atelier du Plateau;5 rue du Plateau;;;;;;;;existant;Innovation sociale et sociétale;Lieux innovants de la culture;;
;75013;Paris 13e;Locaux sur l'Allée d'Ivry;échangeur;;;;;;;;projet;Potentiels foncier ou immobilier;Potentiels foncier ou immobilier;48.826894,2.348256;
;75014;Paris 14e;Paris Innovation Santé Cochin;29 rue du Faubourg Saint-Jacques;-;01 53 10 53 10;http://www.parisbiotech.org/;-;-;-;Depuis 2007, Paris Biotech Santé accueille une pépinière d’entreprises au sein de l’hôpital Cochin qui fait partie des hôpitaux universitaires Paris Centre. 3500 m2 sont ainsi dédiés au développement des jeunes entreprises en santé humaine.;existant;Nouvelles économies et industries;Plateformes, incubateurs;48.836887,2.33851;
;75020;Paris 20e;Puces de Montreuil;Avenue du professeur Lemierre;;;;;;;;projet;Potentiels foncier ou immobilier;Potentiels foncier ou immobilier;48.856601,2.41499;
;75012;Paris 12e;Théâtre de l'Opprimé;78 rue du Charolais;;;;;;;;existant;Innovation sociale et sociétale;Lieux innovants de la culture;;
;94600;Choisy-le-Roi;Centre de l'entrepreneuriat;137 avenue Anatole France;;;;;;;;existant;Nouvelles économies et industries;Plateformes, incubateurs;48.755428,2.414756;
;75020;Paris 20e;Crèche collective Pixérécourt;rue Pixérécourt;;;;;;;Crèche pilote dans la démarche écolo crèche généralisé par la suite.;existant;Expérimentation;Experimentation Immeubles résilients et durables;;
;93300;Aubervilliers;Ecoquartier du Fort d'Aubervilliers;;;;;;;;;projet;Potentiels foncier ou immobilier;Potentiels foncier ou immobilier;;
;75018;Paris 18e;Gare de Saint-Ouen - Hasard Ludique;128 avenue de saint-Ouen;coucou@lehasardludique.fr;09.81.98.67.55;http://www.lehasardludique.paris/la-fabrique;;;;Un lieu culturel hybride (salle de spectacle, atelier artistique, bistrot, etc.);projet;Nouveaux lieux - nouveaux services;Espaces insolites;48.895641,2.328381;
;94160;Saint-Mandé;IGNfab;2 avenue pasteur;;;;;;;;existant;Nouvelles économies et industries;;48.843556,2.423248;
;75012;Paris 12e;Institut de la Vision;17 rue Moreau;contact@institut-vision.org;01 53 46 26 48;http://www.incubateur-vision.org/;https://www.facebook.com/pages/Institut-de-la-Vision/133542633507385;-;https://www.youtube.com/user/institutdelavision;L’institut de la Vision cherche à trouver des solutions innovantes, techniques et thérapeutiques afin d’améliorer la vie des personnes atteintes de maladies de la vue. Pour ce faire, un incubateur ainsi qu’une pépinière d’entreprises dédiés au handicap sensoriel ont été mis en place.;existant;Innovation sociale et sociétale;Formation, Enseignement Supérieur et Recherche;48.850087,2.372766;
https://opendata.paris.fr/api/v2/catalog/datasets/arc_innovation/files/a49f76d28dd71a87e7005bf14d8c7bda;75011;Paris 11e;La Petite Rockette;125 rue du Chemin Vert;contact@lapetiterockette.org;01 55 28 61 18;http://www.lapetiterockette.org/;https://www.facebook.com/lapetiterockette;RocketteLibre;-;Structure associative née en 2005, la Petite Rockette est une ressourcerie, soit un lieu de collecte, de valorisation et de revente des objets et matériaux dont les propriétaires  ont perdu l’usage afin de leur donner une seconde vie. L’association propose également des cafés ateliers de co-réparation et de sensibilisation à l’écologie.;existant;Nouvelles formes d’économie « plurielle »;Economie sociale et solidaire;48.862039,2.383734;
;93200;Saint-Denis;Les Cathédrales du Rail;Plaine Saint-Denis;;clejj55@gmail.com;;https://www.facebook.com/cathedralesdurail/;;;;projet;Potentiels foncier ou immobilier;Potentiels foncier ou immobilier;48.937759,2.362195;
;94600;Choisy-le-Roi;Parcelle Fusco;;;;;;;;;projet;Nouvelles économies et industries;Plateformes, incubateurs;;
https://opendata.paris.fr/api/v2/catalog/datasets/arc_innovation/files/0b0a168bd6c99ee734cf6e050fc216c3;75013;Paris 13e;Bétonsalon;9 ESP PIERRE VIDAL-NIQUET;info@betonsalon.net;01 45 84 17 56;http://www.betonsalon.net/;https://www.facebook.com/betonsalon;Betonsalon;-;Centre d’art et recherche situé au sein de l’Université Paris Diderot – Paris 7, Bétonsalon est pensé comme un espace d’élaboration de questionnements sur la société, par l’intermédiaire d’expositions, séminaires et ateliers, mais aussi de résidences de recherches ou de coproductions artistiques.;existant;Innovation sociale et sociétale;Lieux innovants de la culture et du sport;;
;75018;Paris 18e;CopaPAris - Coopérative Alimentaire de la Goutte d'Or;59 rue stephenson;coopaparis@laposte.net;01 46 06 74 72;https://coopaparis.wordpress.com/;https://www.facebook.com/coopalimentairegouttedor/?fref=ts;;;Coopérative alimentaire participative créée par des consommateurs citoyens et approvisionnée directement par les producteurs.;existant;Innovation sociale et sociétale;Nouveaux modes de commercer;;
;75014;Paris 14e;La Régie de quartier du 14e;11 rue Maurice Bouchor;;01 45 42 14 26;http://www.regieparis14.org/;;;;La Régie de quartier participe à l’insertion socioprofessionnelle des habitants du 14e par des prestations visant à améliorer la gestion de l’espace urbain. L’association propose également aux habitants des services innovants pour embellir leur cadre de vie et développer du lien entre voisins.;existant;Nouvelles économies et industries;Economie sociale et solidaire;;
;75018;Paris 18e;Locaux DPE;Sous périphérique;;;;;;;Locaux de la Direction de la Propreté et l'eau sous le périphérique;projet;Innovation dans les usages;;48.88998,2.36288;
;75018;Paris 18e;Tour Paris Habitat restructuration;29-33 avenue de la porte des Poissonniers;;;;;;;Résidence étudiante avec résidence d'art liée à la Sorbonne étudiée par PH. Immeuble pluriel et énergétiquement performante qui intègre des espaces de logement avec des ateliers, salles de répétition, etc. 100% d’occupation sociale prévue.;projet;Innovation sociale et sociétale;Nouveaux modes d’habiter;48.901353,2.351957;
;75020;Paris 20e;Hôtel d'entreprises Paul Meurice;21 rue Paul Meurice;;;;;;;Hôtel d’entreprises avec des surfaces de co-working où les utilisateurs pourront louer une variété de surfaces pour la durée qu’ils souhaitent Bâtiment partagée avec l’unité fonctionnelle de la Direction de Propreté et de l’eau.;projet;Innovation sociale et sociétale;Coworking;48.875232,2.411533;
;75018;Paris 18e;Hôtel SEH Porte Montmartre;Avenue de la porte de Montmartre;;;;;;;Immeuble qui agroupe un hôtel, une salle polyvalente, un restaurant et la siège sociale de SEH.;projet;Innovation dans les usages;Immeuble pluriel;48.899276,2.336294;
;75017;Paris 17e;Porte Pouchet - Lot de bureaux;Rue Emile Borel  et Bd Bois Le Prêtre;;;;;;;Lot de bureaux au sein de la ZAC de la porte Pouchet. La SEMAVIP a cédé en avril dernier le terrain à Kaufman qui a signé une promesse avec 2 investisseurs MACIF IMMO et AMUNDI;projet;Potentiels foncier ou immobilier;Potentiels foncier ou immobilier;;
;93200;Saint-Denis;@work;6 rue Ampère;;;;;;;;projet;Nouvelles économies et industries;Plateformes, incubateurs;48.922555,2.339753;
;75018;Paris 18e;le BAL;6 impasse de la défense;;;;;;;;existant;Innovation sociale et sociétale;Lieux innovants de la culture;;
;75018;Paris 18e;QUIGP Paris;;z.amrane@plainedefrance.fr;33 1 72 59 82 80;http://www.quartier-universitaire-international-grand-paris.fr/;;;;Quartier Universitaire internationale du Grand Paris. Situé au nord de Paris, le Quartier Universitaire International du Grand Paris (QUIGP) est un lieu de vie atypique dédié aux étudiants en mobilité internationale. Reparti sur 3 quartiers, (Paris, Pleyer, St Dénis),  le QUIGP proposera une offre complète d’hébergement, d’équipements et de services. Par ses caractéristiques exceptionnelles, il favorisera l’innovation, l’échange interculturel et l’émergence d’un mode de vie durable.;projet;Innovation dans les usages;Nouveaux modes d’habiter;;
;75019;Paris 19e;R2K - Cowork;1, Rue de la Solidarité;r2k@r2k.coop;01 40 35 54 01;http://r2k.coop/site/;https://www.facebook.com/CoopR2K/;-;-;R2K est une société coopérative d’intérêt collectif qui intervient dans l’économie sociale et solidaire. Son principal objectif est de permettre l’accès des populations exclues aux nouvelles technologies, grâce entre autres à un espace public numérique, un centre de formation, une unité d’accompagnement, une ferme pédagogique, etc.;existant;Innovation sociale et sociétale;Coworking;48.883008,2.389483;
;75013;Paris 13e;Réinventer Paris -  Ourcq-Jaurès;18 boulevard du Général Jean Simon;;;;;;;;projet;Fabrique du projet;Montages innovants;48.826313,2.383434;
;75011;Paris 11e;Fabshop;50 rue de montreuil;studio@lefabshop.fr;0)9 83 57 51 46;http://www.lefabshop.fr/;https://www.facebook.com/pages/le-FabShop/306604872773359;https://twitter.com/lefabshop;https://www.youtube.com/channel/UCCxehL6mzYAYJX8viMMUAGw;DESIGN / matériaux / machines / Programmation pour la fabrication numérique et l'impression 3D;existant;Nouvelles économies et industries;Fablab;48.850398,2.389013;
