IDENT_PVP;N_SQ_CA;NUM_PVP;ADR_ORI;ADR_SUP;TYP_PROT;MOTIVATION
14-0024;14;24;4 rue Asseline;;BP;Maison individuelle construite par M. Faucou  architecte  en 1909. La façade principale  composée d'un étage sur rez-de-chaussée  présente un caractère singulier donné par les deux piles en pierre encadrant la porte d'entrée et supportant une corniche avec des denticules surdimensionnées.
01-0195;1;195;33 rue des Petits Champs;;BP;Maison du XVIIème siècle présentant une façade composée de deux travées principales et d'une travée secondaire. Soubassement en pierre de taille présentant une porte cochère Louis XIV à imposte ajourée dont la baie est d'un appareil soigné en pierre de taille avec clé saillante. Secteur loti à partir de 1634 par Le Barbier et Desportes au nord du jardin du Palais Cardinal.
17-0373;17;373;58 rue La Condamine;31 rue Truffaut;BP;Remarquable immeuble de rapport de composition néoclassique caractéristique du lotissement des Batignolles vers 1840 situé à un carrefour. Chaînage d'angle.
01-0197;1;197;47 rue des Petits Champs;;BP;Maison élevée en 1670-1671 par l'entrepreneur Jean-Baptiste Prédot pour le musicien Jean-Baptiste Lulli. Elle est lotie en même temps que l'hôtel particulier du musicien situé au n°45 édifié sur les dessins de l'architecte du Roi Daniel Guittard.
17-0351;17;351;3 place du Maréchal Juin;;BP;Architecture ordonnancée de la place du Maréchal Juin (ancienne place Pereire) établie et réalisée sous le Second Empire lors du lotissement de la plaine Monceau par les frères Pereire par leurs architectes Alfred Armand et Alphonse Crépinet.
01-0076;1;76;8 rue de Richelieu;1-5 rue de Montpensier;BP;"Immeuble de 1908 (ancien ""Royal Palace"") édifié par l'architecte Constant Lemaire entre les rues de Richelieu et Montpensier. Bâtiment en pierre de taille traduit du règlement de 1902 ou domine une loggia en brique une toiture travaillée en ardoise façade en pierre de taille avec des bow-windows."
20-0034;20;34;15 rue de Bagnolet;2 quater cité Aubry;BP;Maison d'angle caractéristique de l'ancien village de Bagnolet et composée d'un étage sur rez-de-chaussée. Deux lucarnes.
01-0017;1;17;24-30 rue Saint-Denis;;BP;Ensemble de maisons d'origine du XVIIème siècle. Au n°30 façade composée de deux travée flanquée de chaînes de refends. Au n°28 façade composée de deux travées. Au n°26 façade composée d'une travée. Lucarne maçonnée. Au n°24 : façade composée de trois travées.
20-0040;20;40;6 rue Belgrand;;BP;Façade du cinéma « Gambetta Palace » construit par Henri Sauvage en 1920. La salle originelle de 1500 places a été dénaturée dans les années 70. La façade et la salle ont été agrémentées de motifs originaux qui illustrent le renouvellement formel auquel l'architecte travaille dès avant-guerre, et qui trouve ici l'une de ses applications inattendues. Les tentures à motifs végétaux polychromes inspirés de la Sécession viennoise, tendues dans les trois arcades où est intégré l'écran, s'opposent à la blancheur et à la nudité de la salle. Quant à la façade, presque aveugle et enduite de blanc pour évoquer un écran de cinéma, elle reçoit des motifs de marionnettes créés par le décorateur Hellé (disparus dans les années 50), et des motifs japonisants ou égyptisants placés en léger relief et peints à l'or. Les vitraux à motifs de mascarons qui ornaient initialement les fenêtres hautes et qui avaient été détruits ont été reproduits à l'occasion de la récente réhabilitation de la façade. L'esthétique du Gambetta Palace est conçue comme celle d'un pavillon d'Exposition universelle, prélude à celle des Arts décoratifs en gestation.
01-0105;1;105;45-47 rue Saint-Honoré;;BP;Deux maisons à l'ancien alignement. Au n°45 façade en pierre de taille du XVIIème siècle composée de deux travées avec de beaux appuis de fenêtre en fer forgé de style Louis XIV. Au n°47 façade composée de quatre travées du XVIIIème siècle en pierre de taille. Beaux appuis de fenêtre en fer forgé de style Louis XV. Baies cintrées présentant des mascarons à la clef. Seule la façade est inscrite depuis 1925 à l'inventaire supplémentaire des monuments historiques.
20-0169;20;169;102-104 boulevard de Belleville;;BP;Immeuble de rapport caractéristique de l'entre-deux guerre présentant une façade sur rue revêtue de briques. Elle est composée de cinq étages sur rez-de-chaussée et entresol et elle est animée par trois bow-windows (deux bow-windows courbes latéraux). Le dernier étage est orné d'une frise sculptée à motif géométrique.
01-0031;1;31;56-72 rue Saint-Honoré;;BP;Aux n° 56-58 maisons à façades en pierre de taille d'aspect XVIIIème siècle. Chaînes de refends mascarons en agrafe au-dessus des baies chambranles à crossettes et garde-corps Rocaille au n°58. Du n°60 au n°70 ensemble de maisons remaniées mais établies sur des parcelles et des bases très anciennes. Au n°60 maison d'une seule travée. Garde-corps Louis XIV en fer forgé. Façade sur cour d'apparence XVIème siècle à large bossages biseautés façon renaissance. Escalier limon sur limon à balustres tournés à l'exception de la première volée en fer forgé. Au n°62 escalier ancien documenté à cette adresse. Aux n°64-68 garde-corps en fer forgé Louis XVI. Au n°70 maison de quatre étages présentant une façade en pierre de taille Louis XVI avec un décor sobre de guirlandes sous les appuis du second étage et des gardes-corps en fer forgé. Au n°72 maison élevée de deux étages droits et d'un étage d'attique sous combles. La façade a pâti d'un ravalement au ciment mais conserve des gardes-corps Louis XV.
02-0149;2;149;139 rue d'Aboukir;;BP;Maison à loyer présentant dans son état actuel un aspect de la fin du XVIIIème siècle avec chaînage d'angle et comportant une porte présentant un remarquable décor de fonte ajourée (motif de palmette de style Empire au niveau de l'Imposte) du début du XIXème siècle.
01-0230;1;230;75 rue Saint-Honoré;;BP;Maison de la fin du XVIIIème siècle présentant une façade composée de deux travées cantonnée par des chaînes de refends et de trois étages carrés. Les appuis des baies soutenus par des consoles en dé portent des garde-corps en fer forgé de style Louis XVI. Encadrement de porte à portique et porte d'inspiration néoclassique.
02-0290;2;290;60 rue d'Argout;63, rue Montmartre;BP;"Maison présentant une façade composée de deux travées sur la rue Montmartre, cinq sur la rue d'Argout  et de trois étages carrés sur rez-de-chaussée. Angle abattu avec niche vide. Ferronneries du XVIIIème siècle aux deux premiers étages. Sur la rue d'Argout, petit portail surmonté d'un cartouche et d'un entablement curviligne recoupé. Fenêtres à entourage plat. Refends aux extrémités. Escalier carré à rampe de barreaux forgés. (édifice référencé in ""Le quartier Montorgueil Saint-Denis"", étude réalisée par A. Gady pour l'association pour la Sauvegarde et la Mise en valeur du Paris historique, 1992)"
01-0424;1;424;171 rue Saint-Honoré;;BP;Belle maison du XVIIIème siècle présentant une façade sur rue en pierre de taille élevée de trois étages carrés sur rez-de-chaussée cantonnée par deux chaînes de refends. Bandeaux d'étage. Baies cintrées régulièrement disposées. Appuis de fenêtres en fer forgé Louis XV. Porte en anse de panier à vantaux en bois avec une imposte à motif de rosace plus tardive. [maison jumelle au n°173]
02-0115;2;115;13-21 rue Blondel;;BP;"Ensemble de maisons d'habitation construites entre la seconde moitié du XVIIème siècle et le XVIIIème siècle sur l'ancien chemin de ronde intérieur de l'enceinte de Charles V lotie au moment de la construction de la porte Saint-Denis (1672).  Elle offre alors au voyageur arrivant une représentation du ""Paris moderne"" et forme un important vestige cohérent d'un projet de morceau de Ville neuve entre la porte Saint-Denis et la porte Saint-Martin. Certains sous-sols sont sans doute antérieurs (escalier à vis de la cave du n°17). Du côté impair quelques bâtiments peuvent être datés du XVIIIème siècle. Le côté impair est en revanche homogène. Les maisons comptent de trois à cinq travées la plupart à trois étages côté pair avec une corniche brisée sous la toiture dans la travée centrale surmontée d'une mansarde"
01-0060;1;60;9 rue Sauval;47 rue Berger;BP;Belle maison du XVIIème siècle présentant une élévation composée de trois étages carrés sur rez-de-chaussée. Soubassement en pierre de taille. Fruit sensible des façades. Ancres métalliques. Remarquables appuis de fenêtre en fer forgé conservés. Disposition dissymétrique des baies sur la rue Berger. Arcade cochère sur la rue Sauval.
03-0239;3;239;171-173 rue Saint-Martin;;BP;Immeuble d'activité édifié en 1884 il témoigne de l'élaboration de cette nouvelle typologie parisienne qui ne se distingue que prudemment de la typologie de l'immeuble d'habitation bourgeois. La grande surface des baies vitrées permet toutefois l'éclairage indispensable aux activités liées au textile au commerce et la presse. La façade combine une structure massive en pierre au décor conventionnel de pilastres et de pendentifs sculptés et des bandeaux de briques rouges soulignés de linteaux métalliques.
01-0208;1;208;20 rue Thérèse;1 rue des Moulins;BP;Maison d'angle Louis XV élevée de deux étages carrés sur rez-de-chaussée et entresol avec appuis de fenêtre en fer forgé conservés.
10-0018;10;18;23 rue du Buisson Saint-Louis;;BP;Sur cour  pavillon d'un étage sur rez-de-chaussée à fronton triangulaire  antérieur à l'urbanisation du quartier.
02-0190;2;190;41-49 rue d'Aboukir;;BP;Séquence de maisons des XVIIème et XVIIIème siècle conservée sur le tracé de l'ancienne enceinte de Charles V lotie au XVIIème siècle.
02-0368;2;368;22 rue Dussoubs;17, rue Saint-Sauveur, 34, rue Greneta, 14, impasse Saint-Denis;BP;"Derrière l'immeuble de rapport sur rue (vers 1830), ancien hôtel de Launay sur cour pavée datant du XVIIIème siècle, malheureusement surélevé. Perron en demi-lune à double révolution et rampe ferronnée. Portail accosté de demi-colonnes doriques, supportant l'architrave où alternent des médaillons ornés de motifs végétaux et des triglyphes. Entablement très saillant. Fenêtre centrale du premier étage accostée de pilastres ioniques soutenant l'architrave sculptée de rinceaux et de fleurs et surmontée d'une frise de feuilles et d'un entablement orné de rais de coeur. La large travée centrale, en retrait, coiffée d'une calotte, se raccorde aux travées latérales par des parois convexes. Au rez-de-chaussée, de très larges arcades cintrées logent des fenêtres curvilignes. Abondante décoration : refends, consoles, ferronneries, mascarons, panneaux, ... Le perron donne accès au vaste vestibule de l'escalier d'honneur. Porte sculptée de coquilles, de rinceaux et de cornes d'abondance d'où s'échappent des fleurs. Escalier remarquable. Ancien boudoir (Rochegude) (in ""Le quartier Montorgueil Saint-Denis"", étude réalisée pour l'association pour la Sauvegarde et la Mise en valeur du Paris historique, 1992)"
02-0147;2;147;115 rue d'Aboukir;2 rue Saint Philippe;BP;Remarquable maison à loyer du milieu du XVIIIème siècle située à l'angle de deux rues. Façade élevée de trois étages carrés sur un soubassement orné de refends composé d'un rez-de-chaussée et d'un niveau d'entresol découpés par de grandes arcatures en plein cintre. La porte cochère est ornée d'un mascaron féminin à la clé. L'angle est mis en valeur par un chaînage et une niche. Belles proportions des baies cintrées à tous les niveaux. Lucarne feunière et bel escalier en fer forgé Louis XV conservé et documenté.
02-0242;2;242;4-6 rue Gaillon;;BP;Ancien hôtel du prince Sulkowski construit vers 1740 oeuvre de l'architecte Jacques-Richard Cochois (Maison Douet répertoriée par Michel Gallet). Façade en pierre de taille percée régulièrement de hautes fenêtres et ornementée de mascarons de pilastres et de consoles ouvragées. Le style rocaille se lit aussi bien sur les fenêtres les ferronneries que sur les vantaux du portail d'entrée. Le motif des appuis en fer forgé se retrouve sur les autres oeuvres de Cochois. Les mascarons sont omniprésents dans le vestibule et dans la voûte de l'escalier. La rampe constitue un chef-d'oeuvre de ferronnerie Louis XV. L'hôtel a subi des modifications et une extension de deux travées ainsi qu'une surélévation en 1881-1882 par l'architecte Tronquois. Construction remaniée demeurant un témoignage exceptionnel de la typologie de l'hôtel particulier du XVIIIème siècle.
03-0259;3;259;7-9 rue Sainte-Apolline;;BP;Au n°7-9 ensemble locatif fin XVIIIème impressionnant par ses dimensions il est composé de quinze travées. Porte cochère ornée de refends et à vantaux en bois à chaque extrémité. La partie gauche a conservé son escalier ancien à rampe en fer forgé. Les petites consoles sous les fenêtres et le motif des appuis sont très typiques du style dépouillé de cette période.
02-0390;2;390;65 rue Greneta;;BP;"Maison présentant une façade composée de quatre travées et de trois hauts étages carrés sur entresol et rez-de-chaussée. L'entresol est centré d'une arcade arrondie, encadrée de deux arcades surbaissées. Aux étages, fenêtres curvilignes à grosses clés en bossage, s'accrochant aux bandeaux, panneaux entre les baies. Quatre lucarnes à frontons cintrés. Escalier à rampe de barreaux forgés. (édifice référencé in ""Le quartier Montorgueil Saint-Denis"", étude réalisée pour l'association pour la Sauvegarde et la Mise en valeur du Paris historique, 1992)"
03-0285;3;285;17 boulevard Saint-Martin;24 rue Meslay;BP;"Immeuble de rapport à double vocation résidentielle et commerciale construit probablement vers 1840. Cette vaste construction, généreuse en espaces présente tous les signes d'un habitat de prestige. Le plus frappant est la façade sur le boulevard. Au-dessus d'un rez-de-chaussée totalement vitré, s'élèvent quatre étages en pierre de taille. Le décor est sobre mais imposant. Bandeaux et corniches dialoguent avec les dais et chambranles de l'architecture classique, sous la puissante avancée d'une large corniche de palais. Entresol et bel étage offrent des panneautages qui rappellent les devantures, aujourd'hui disparues, des boutiques à rez-de-chaussée. Les décors intérieurs sont extrèmement soignés. Cet immmeuble fait l'objet d'une description et d'une analyse minutieuse in Les Grands Boulevards, DAAVP, 2000 chapitre ""l'Immeuble et le Boulevard"" par François Loyer (pp. 71-79). Ensemble bâti remarquable s'inscrivant dans les séquences historiques des Grands Boulevards parisiens."
06-0737;6;737;16 rue de l'Odéon;;BP;Maison à loyer vers 1800 présentant une façade composée de cinq travées et élevée de trois étages carrés sur entresol et rez-de-chaussée. Grand balcon filant orné d'un garde-corps à motifs géométriques soutenu par des consoles. Persiennes. Corniche ornée de denticules. Porte cochère.
06-0362;6;362;55 rue Dauphine;;BP;Maison ancienne présentant une façade composée de deux travées d'origine du XVIIème siècle très caractéristique par son fruit la proportion conservée de ses baies ses bandeaux ses deux lucarnes. Les appuis sont conservés.
17-0113;17;113;4-6 rue Aumont-Thiéville;;BP;Ensemble d'ateliers d'artistes construits en 1884 en structure métallique par Gustave Eiffel qui divisa l'immeuble en six travées d'ateliers de largeur identique. L'ingénieur qui fabriquait ses pièces à Levallois définit des modules standardisés permettant de réaliser à moindre coût et dans des délais très brefs la structure porteuse de l'édifice. La rationalité et la simplicité de cette architecture qui affirme clairement sa structure et sa fonction est à rapprocher de celle des immeubles industriels et artisanaux de la même période.
06-0361;6;361;57 rue Dauphine;;BP;Maison ancienne présentant une façade composée de deux travées d'origine du XVIIème siècle très caractéristique par la proportion conservée de ses baies ses bandeaux sa double lucarne maçonnée. Les appuis sont conservés.
02-0422;2;422;8 rue Léopold Bellan;;BP;"Maison présentant une façade composée de deux travées et de quatre étages carrés sur rez-de-chaussée. Entourage des fenêtres et bandeaux moulurés. Lucarne maçonnée. (édifice référencé in ""Le quartier Montorgueil Saint-Denis"", étude réalisée pour l'association pour la Sauvegarde et la Mise en valeur du Paris historique, 1992)"
06-0871;6;871;4 rue du Dragon;;BP;Maison du XVIIIème siècle. Façade composée de trois travées à décor revu au XIXème siècle. Porte piétonne Louis-Philippe. Surélévation de 1897.
02-0066;2;66;13-15 rue du Mail;11 rue Paul Lelong;BP;Hôtel particulier et ancienne salle de concert appartenant à la famille Erard qui installa sur cette parcelle traversante sa résidence et son entreprise de facteurs d'instruments dès 1781. Résidence de François Liszt de 1823 à 1878 à l'invitation de la famille Erard. Sébastien Erard y implanta sa manufacture de piano et de harpe en septembre 1781. On distinguait les salles d'exposition des pianos et des harpes la salle de concert et les pièces d'habitation. Dans la cour sur la droite le bâtiment scandé par deux avant-corps conserve un salon décoré. Au fond un perron de quelques marches donne accès à l'ancienne salle de concert patronnée par la famille Erard. A l'intérieur subsiste un escalier monumental du XIXème siècle. Haut lieu de l'histoire musicale et architecturale en grande partie intact.
06-0851;6;851;5 rue du Dragon;;BP;Maison ancienne présentant un léger fruit. Façade composée de trois travées et quatre étages carrés sur rez-de-chaussée. Appuis de fenêtre à motifs de losange vers 1800.
02-0427;2;427;13 rue Marie Stuart;;BP;"Maison présentant une façade composée de deux travées et de quatre étages carrés sur rez-de-chaussée. Fenêtres à entourage mouluré (sauf au premier étage), à décrochements au troisième étage. Corniche moulurée. Maison surélevée d'une terrasse. Dans le couloir : un mur en moellons et pierre de taille. Escalier en spirale de plus en plus étroit. (édifice référencé in ""Le quartier Montorgueil Saint-Denis"", étude réalisée par A. Gady pour l'association pour la Sauvegarde et la Mise en valeur du Paris historique, 1992)"
08-0189;8;189;29 avenue Montaigne;1 rue Clément Marot;BP;Hôtel G. Schlumberger. Façade en pierre de taille avec décor à refends au rez-de-chaussée et deux portes d'entrée. Balcons à balustres de pierre entablement sur consoles au-dessus des fenêtres chambranles moulurés autour des fenêtres. Au premier étage clé en écusson ovale feuillage au dessus de la fenêtre centrale. Au second étage clé en volute et feuillages au dessus de la fenêtre centrale et de chaque côté de cette fenêtre deux cadres ovales moulurés. Le toit se compose de cinq lucarnes en pierre surmontées de frontons triangulaires. Corniche à modillons à la retombée du toit.
02-0216;2;216;6 rue de La Michodière;;BP;Maison à loyer de la fin du XVIIIème siècle appartenant à un type proche des maisons du lotissement de la rue Chabannais. La façade en pierre de taille composée symétriquement comporte sept travées et trois étages carrés sur entresol et rez-de-chaussée. Les deux premiers niveaux sont découpés par quatre grandes arcatures et une porte cochère en plein cintre avec marteau. Salon ovale du XVIIIème siècle conservé (boiseries cheminées moulures garnies de feuilles d'acanthes et palmettes). L'architecte Victor Louis y aurait vécu. Réalisation caractéristique du lotissement de la rue de La Michodière à partir de 1779.
14-0066;14;66;42 rue Boulard;;BP;Maison individuelle édifiée vraisemblablement au milieu du XIXème siècle. La maison présentant une façade composée de deux étages sur rez-de-chaussée et élevée dans une volumétrie compacte occupe une parcelle d'angle située en fond de perspective de la rue Ernest Cresson. Sa volumétrie régulière la sobriété de son architecture est représentative des bâtiments construits dans la commune du petit Montrouge avant l'annexion de 1860.
02-0303;2;303;59-61 rue Montmartre;;BP;"Maison présentant une façade composée de trois travées et de trois étages carrés sur rez-de-chaussée.  Hiérarchisation des étages. Surélévation. Entre les fenêtres, pilastres cannelés, jumelés aux extrémités. Doubles bandeaux, corniche saillante sur consoles. (édifice référencé in ""Le quartier Montorgueil Saint-Denis"", étude réalisée par A. Gady pour l'association pour la Sauvegarde et la Mise en valeur du Paris historique, 1992)"
14-0035;14;35;3 rue Cassini;;BP;Immeuble présentant une façade composée de quatre étages sur rez-de-chaussée et de deux travées dont une en bow-window courbe couronné par un atelier d'artiste réalisé en 1903 par l'architecte F. Saulnier en collaboration avec le sculpteur Vermare. Façade en pierre de taille au porche orné de bas-reliefs représentant une femme à mandoline et un groupe d'enfants portant des fleurs.
02-0072;2;72;142-144 rue Montmartre;;BP;"Immeuble de bureaux (journal « La France ») édifié en 1884-1885 par l'architecte Ferdinand Bal à l'angle des rues de Montmartre Saint-Joseph et du Croissant. Bâtiment ""post-haussmannien"" façade décorée ordre colossal (colonnes à chapiteaux corinthiens atlantes et cariatides) entablement très marqué."
20-0171;20;171;34 rue de Belleville;44 rue de Tourtille;BP;Ancienne maison du XIXème siècle caractéristique de l'ancien faubourg de Belleville située à un angle de rue. Cour pavée. Lucarnes.
02-0100;2;100;9 rue Notre-Dame de Bonne Nouvelle;22 rue de la Lune;BP;Hôtel particulier d'angle situé en vis-à-vis de l'Eglise Notre-Dame de Bonne Nouvelle progressivement modernisé. Balcons 1700 à l'étage noble où les baies sont surmontées de frontons à coquillages style rocaille naïf balcons pignon percé d'une fenêtre remarquable ensemble de cheminées tympan sculpté vers 1806 dans la cour avec bâton d'Hermès flanqué de deux allégories masculines à flûtes têtes d'Hermès comme chapiteaux-consoles. Composition intéressante de l'ensemble collage d'éléments en façade qui suivent les différentes étapes de l'évolution du quartier.
20-0109;20;109;68 rue de Belleville;;BP;Immeuble de rapport de la première moitié du XIXème siècle. Façade composée de trois étages carrés sur rez-de-chaussée et d'un étage d'attique. La façade est ornée de pilastres qui bornent la façade et séparent les travées. Corniche à consoles sous l'étage d'attique.
